,bigrams,counts
163,"(""D'Souza,Wendyl"", 'Sheffield,W. Douglas')",1
164,"(""D'Souza,Wendyl"", 'Snyder,David')",1
165,"(""D'Souza,Wendyl"", 'Yerra,Raju')",1
166,"('Fabinyi,Gavin', 'Himes,David')",1
167,"('Fabinyi,Gavin', 'Hosking,Sean')",1
168,"('Fabinyi,Gavin', 'Leyde,Kent')",1
169,"('Fabinyi,Gavin', 'Lightfoot,Paul')",1
170,"('Fabinyi,Gavin', 'Litewka,Lucas')",1
171,"('Fabinyi,Gavin', 'Morokoff,Andrew')",1
172,"('Fabinyi,Gavin', 'Murphy,Michael')",1
173,"('Fabinyi,Gavin', ""O'Brien,Terence J."")",1
174,"('Fabinyi,Gavin', 'Ruedebusch,Vanessa')",1
175,"('Fabinyi,Gavin', 'Sheffield,W. Douglas')",1
176,"('Fabinyi,Gavin', 'Snyder,David')",1
177,"('Fabinyi,Gavin', 'Yerra,Raju')",1
178,"('Himes,David', 'Hosking,Sean')",1
179,"('Himes,David', 'Leyde,Kent')",1
180,"('Himes,David', 'Lightfoot,Paul')",1
181,"('Himes,David', 'Litewka,Lucas')",1
182,"('Himes,David', 'Morokoff,Andrew')",1
183,"('Himes,David', 'Murphy,Michael')",1
184,"('Himes,David', ""O'Brien,Terence J."")",1
185,"('Himes,David', 'Ruedebusch,Vanessa')",1
186,"('Himes,David', 'Sheffield,W. Douglas')",1
187,"('Himes,David', 'Snyder,David')",1
188,"('Himes,David', 'Yerra,Raju')",1
189,"('Hosking,Sean', 'Leyde,Kent')",1
190,"('Hosking,Sean', 'Lightfoot,Paul')",1
191,"('Hosking,Sean', 'Litewka,Lucas')",1
192,"('Hosking,Sean', 'Morokoff,Andrew')",1
193,"('Hosking,Sean', 'Murphy,Michael')",1
194,"('Hosking,Sean', ""O'Brien,Terence J."")",1
195,"('Hosking,Sean', 'Ruedebusch,Vanessa')",1
196,"('Hosking,Sean', 'Sheffield,W. Douglas')",1
197,"('Hosking,Sean', 'Snyder,David')",1
198,"('Hosking,Sean', 'Yerra,Raju')",1
199,"('Leyde,Kent', 'Lightfoot,Paul')",1
200,"('Leyde,Kent', 'Litewka,Lucas')",1
201,"('Leyde,Kent', 'Morokoff,Andrew')",1
202,"('Leyde,Kent', 'Murphy,Michael')",1
203,"('Leyde,Kent', ""O'Brien,Terence J."")",1
204,"('Leyde,Kent', 'Ruedebusch,Vanessa')",2
205,"('Leyde,Kent', 'Sheffield,W. Douglas')",2
206,"('Leyde,Kent', 'Snyder,David')",1
207,"('Leyde,Kent', 'Yerra,Raju')",1
208,"('Lightfoot,Paul', 'Litewka,Lucas')",1
209,"('Lightfoot,Paul', 'Morokoff,Andrew')",1
210,"('Lightfoot,Paul', 'Murphy,Michael')",1
211,"('Lightfoot,Paul', ""O'Brien,Terence J."")",1
212,"('Lightfoot,Paul', 'Ruedebusch,Vanessa')",1
213,"('Lightfoot,Paul', 'Sheffield,W. Douglas')",1
214,"('Lightfoot,Paul', 'Snyder,David')",1
215,"('Lightfoot,Paul', 'Yerra,Raju')",1
216,"('Litewka,Lucas', 'Morokoff,Andrew')",1
217,"('Litewka,Lucas', 'Murphy,Michael')",1
218,"('Litewka,Lucas', ""O'Brien,Terence J."")",1
219,"('Litewka,Lucas', 'Ruedebusch,Vanessa')",1
220,"('Litewka,Lucas', 'Sheffield,W. Douglas')",1
221,"('Litewka,Lucas', 'Snyder,David')",1
222,"('Litewka,Lucas', 'Yerra,Raju')",1
223,"('Morokoff,Andrew', 'Murphy,Michael')",1
